sample_id,dataset,stratum,acc_low,acc_high,acc_max,rt_low,rt_high,rt_max
easy2hard_E2H-AMC_03740,easy2hard_amc,3,1.0,1.0,1.0,9592.6,19297.8,26782.4
easy2hard_E2H-AMC_03742,easy2hard_amc,5,0.8,1.0,1.0,804.6,1435,1198.4
easy2hard_E2H-AMC_03761,easy2hard_amc,1,0.8,0.6,0.8,142.8,110.6,107.6
easy2hard_E2H-AMC_03774,easy2hard_amc,1,0.8,1.0,1.0,624,267,549
easy2hard_E2H-AMC_03776,easy2hard_amc,1,1.0,1.0,1.0,116.4,216.4,312.6
easy2hard_E2H-AMC_03879,easy2hard_amc,2,1.0,1.0,1.0,5812.2,2126.6,4754.8
easy2hard_E2H-AMC_03902,easy2hard_amc,3,0.0,0.0,0.0,3624.6,5571.8,15636
easy2hard_E2H-AMC_03944,easy2hard_amc,4,1.0,1.0,1.0,3611,4388.6,3748.4
gpqa_000,gpqa_diamond,1,0.4,0.0,0.0,8243.6,6704.2,10938.2
gpqa_001,gpqa_diamond,1,1.0,1.0,1.0,9889,6298.6,15074.6
gpqa_002,gpqa_diamond,1,0.0,0.0,0.0,2026,4334.2,15468.2
gpqa_003,gpqa_diamond,1,0.0,0.4,0.4,4685.8,556.8,6485.8
gpqa_004,gpqa_diamond,1,0.0,0.0,0.0,2120.4,4479.2,11752.4
gpqa_005,gpqa_diamond,1,0.0,0.0,0.4,7931,5284.4,17310.8
gpqa_006,gpqa_diamond,1,0.6,0.8,0.4,2917.8,5248.4,17298.4
gpqa_007,gpqa_diamond,1,0.2,0.4,0.2,15231.2,40516.2,28483.4
gpqa_008,gpqa_diamond,1,1.0,0.2,0.8,17713,31240.2,46245
gpqa_009,gpqa_diamond,1,1.0,1.0,1.0,843.4,244,492.8
gpqa_010,gpqa_diamond,1,0.8,0.8,1.0,2290,2435.2,5661.8
gpqa_011,gpqa_diamond,1,0.0,0.0,0.0,4402.4,1683.4,8578.2
gpqa_012,gpqa_diamond,1,0.4,0.6,0.6,19346.2,45656.8,39018.8
gpqa_013,gpqa_diamond,1,0.0,0.0,0.2,5174.2,14959.4,28836.8
gpqa_014,gpqa_diamond,1,1.0,1.0,1.0,4391.8,884.2,8150.6
gpqa_015,gpqa_diamond,1,0.8,0.4,0.4,27444.2,35963.8,51177.8
gpqa_016,gpqa_diamond,1,0.0,0.0,0.0,5135,3544.4,10226.4
gpqa_017,gpqa_diamond,1,0.2,0.0,0.2,9313.6,4650.2,15706.2
gpqa_018,gpqa_diamond,1,0.0,0.0,0.0,18914.6,28284,42414.8
gpqa_019,gpqa_diamond,1,0.0,0.2,0.0,1813.2,805.4,7895.6
gpqa_020,gpqa_diamond,1,1.0,1.0,1.0,6605.4,2790.4,14406.2
gpqa_021,gpqa_diamond,1,0.0,0.4,0.0,7052.6,906.6,14703.6
gpqa_022,gpqa_diamond,1,0.0,0.0,0.0,21028,21645.6,33953
